volume,pagina,book,value
2,280,Is,26:19
2,282,Is,27:2
2,286,Is,27:4
2,288,Is,27:8
2,290,Is,28:1:4
2,292,Is,28:25
2,294,Is,28:28
2,295,Is,29:3
2,297,Is,29:5
2,298,Is,29:7
2,300,Is,29:9
2,302,Is,29:22
2,303,Is,30:6
2,305,Is,30:7
2,306,Is,30:8
2,308,Is,30:17
2,309,Is,30:19
2,310,Is,30:25
2,311,Is,30:27
2,313,Is,30:32
2,314,Is,30:33
2,315,Is,32:6
2,316,Is,32:13
2,317,Is,32:19
2,318,Is,33:1
2,320,Is,33:2
2,321,Is,33:3
2,322,Is,33:4
2,323,Is,33:5
2,324,Is,33:6
2,325,Is,33:7
2,327,Is,33:8
2,328,Is,33:11
2,329,Is,33:23
2,330,Is,34:5
2,333,Is,34:7
2,334,Is,34:12
2,335,Is,34:16
2,337,Is,35:6
2,338,Is,35:7
2,339,Is,35:8
2,341,Is,36:5
2,342,Is,36:9
2,343,Is,36:19
2,344,Is,37:9
2,345,Is,37:12
2,346,Is,37:18
2,347,Is,37:20
2,348,Is,37:21
2,349,Is,37:24
2,350,Is,37:25
2,351,Is,37:27
2,352,Is,37:28
2,353,Is,37:29
2,354,Is,38:7
2,355,Is,38:8
2,357,Is,38:9
2,358,Is,38:11
2,359,Is,38:12
2,360,Is,38:13
2,361,Is,38:14
2,365,Is,38:15
2,367,Is,38:16
2,369,Is,38:17
2,370,Is,38:19
2,371,Is,40:6
2,373,Is,40:7
2,374,Is,40:10
2,375,Is,40:12
2,376,Is,40:14
2,377,Is,40:17
2,379,Is,40:21
2,380,Is,41:2
2,381,Is,41:3
2,382,Is,41:11
2,383,Is,41:14
2,384,Is,41:22
2,385,Is,41:23
2,387,Is,41:24
2,389,Is,41:25
2,392,Is,41:27
2,394,Is,41:29
2,395,Is,42:3
2,396,Is,42:4
2,397,Is,42:6
2,399,Is,42:11
2,400,Is,42:19
2,401,Is,42:20
2,403,Is,42:22
2,404,Is,42:24
2,405,Is,43:4
2,407,Is,43:10
2,408,Is,43:13
2,410,Is,43:14
2,412,Is,43:19
2,413,Is,43:25
2,414,Is,43:28
2,416,Is,44:4
2,418,Is,44:5
2,419,Is,44:7
2,420,Is,44:7
2,422,Is,44:11
2,423,Is,44:12
2,425,Is,44:21
2,426,Is,44:24
2,427,Is,44:25
2,428,Is,44:26
2,429,Is,44:28
2,430,Is,45:8
2,431,Is,45:9
2,434,Is,45:10
2,435,Is,45:11
2,436,Is,45:14
2,437,Is,45:16
2,439,Is,45:24
2,441,Is,47:3
2,443,Is,47:4
2,444,Is,47:14
2,445,Is,48:1
2,446,Is,48:9
2,447,Is,48:10
2,448,Is,48:11
2,449,Is,48:14
2,452,Is,49:7
