book,chapter,verse,word_index,Qere,Ketiv,Strongs Q,Parsing Q,Strongs K,Parsing K
2Sa,18,17,20,לְ/אֹהָלָֽי/ו\׃\ \ס,"K= le./'o.he.l/o (לְ/אָהֳל/וֹ\׃\ \ס) ""to/ tent/ his"" (H9005/H0168H/H9023\H9016\ \H9018=HR/Ncmsc/Sp3ms)",H9005 H0168H H9023 H9016   H9018,HR Ncmpc Sp3ms,H9018,HR Ncmsc Sp3ms
2Sa,18,20,18,עַל/־/כֵּ֥ן,"K= al- (עַל) ""<on>"" (H5921B\H9014=HR)",H5921B H9014 H3651B,HR  D,H5921B H9014,HR
2Sa,19,6(19,19,ל֣וּ,"K= lo' (לֹא) ""not"" (H3808=HTn)",H3863,,H3808,HTn
2Sa,19,31(19,11,הַ/יַּרְדֵּֽן\׃,"K= va/i.yar.den (בַּ/יַּרְדֵּן\׃) ""at the/ Jordan"" (H9003/H3383\H9016=HRd/Npl)",H3383 H9016,HTd Npl,H9003 H3383 H9016,HRd Npl
2Sa,20,5,6,וַ/יּ֕וֹחֶר,"K= va/i.yi.cher (וַ/יֵּיחַר) ""and/ he delayed"" (H9001/H3186=Hc/Vqw3ms)",H0309,Vhw3ms,H3186,Vqw3ms
2Sa,20,14,10,וַ/יִּקָּ֣הֲל֔וּ,"K= va/i.yik.le.hu (וַ/יִּקָּלְהוּ) ""and/ they were lightly esteemed"" (H9001/H7034=Hc/VNw3mp)",H6950,VNw3mp,H7034,VNw3mp
2Sa,20,23,10,הַ/כְּרֵתִ֖י,"K= ha./ke.ri (הַ/כְּרִי) ""the/ Carian[s]"" (H9009/H3746=HTd/Ngbsa)",H3774H,HTd Ngmsa,H3746,HTd Ngbsa
2Sa,20,25,1,וּ/שְׁוָ֖א,"K= u./she.ya' (וְ/שֵׁיָא) ""and/ Sheya"" (H9002/H7864=HC/Npm)",H7724H,Npm,H7864,Npm
2Sa,21,4,5,לָ֜/נוּ,"K= l/i (לִ/י) ""to/ me"" (H9005/H9030=HRd/Sp1bs)",H9005 H9035,HRd Sp1bp,H9005 H9030,HRd Sp1bs
2Sa,21,9,9,שְׁבַעְתָּ֖/ם,"K= shi.va'.ta.yim (שִׁבְעָתַיִם) ""sevenfold"" (H7659=HAcfda)",H7651 H9028,HNcfsc Sp3mp,H7659,HAcfda
2Sa,21,9,16,בִּ/תְחִלַּ֖ת,"K= te.chi.lat (תְּחִלַּת) ""[the] beginning of"" (H8462=HNcfsc)",H9003 H8462,HR Ncfsc,H8462,HNcfsc
2Sa,21,12,22,תְּלָא֥וּ/ם,"K= te.lu/m (תָּלוּ/ם) ""they had hung up/ them"" (H8518/H9038=HVqp3cp/Sp3mp)",H8511 H9038,HVqp3cp Sp3mp,H8518 H9038,HVqp3cp Sp3mp
2Sa,21,12,23,שָׁ֙מָּ/ה֙,"K= sham (שָׁם) ""there"" (H8033G=HD)",H8033G H9011,HD Sd,H8033G,HD
2Sa,21,20,7,מָד֗וֹן,"K= ma.din (מָדִין) ""measure"" (H4060G=HNtmsa)",H4067,HNtmsa,H4060G,HNtmsa
2Sa,22,15,5,וַ/יָּהֹֽם\׃,"K= va/i.ye.hu.me/m (וַ/יְהֻמֵּ/ם\׃) ""and/ he routed/ them"" (H9001/H2000/H9038\H9016=Hc/Vqw3ms/Sp3mp)",H2000 H9016,Vqw3ms,H2000 H9038 H9016,Vqw3ms Sp3mp
2Sa,22,33,6,דַּרְכִּֽ/י\׃,"K= dar.k/o (דַּרְכּ/וֹ\׃) ""way/ his"" (H1870G/H9023\H9016=HNcbsc/Sp3ms)",H1870G H9020 H9016,HNcbsc Sp1bs,H1870G H9023 H9016,HNcbsc Sp3ms
2Sa,22,34,2,רַגְלַ֖/י,"K= rag.la/v (רַגְלָי/ו) ""feet/ his"" (H7272/H9023=HNcbdc/Sp3ms)",H7272 H9020,HNcfdc Sp1bs,H7272 H9023,HNcbdc Sp3ms
2Sa,22,51,1,מִגְדּ֖וֹל,"K= mig.dil (מַגְדִּיל) ""[one who] makes great"" (H1431=HVhrmsa)",H4024A,HNcmsc,H1431,HVhrmsa
2Sa,23,8,13,הָֽ/עֶצְנִ֔י,"K= ha./'etz.n/o (הָ/עֶצְנ/וֹ) ""<the>/ spear/ his"" (H9009/H6112H/H9023=HTd/Ncbsc/Sp3ms)",H6112G,HTd Ncmsa,H6112H H9023,HTd Ncbsc Sp3ms
2Sa,23,8,19,אֶחָֽת\׃\ \ס,"K= 'e.chad (אֶחָד\׃\ \ס) ""one"" (H0259\H9016\ \H9018=HNcbsa)",H0259 H9016   H9018,HNcfsa,H9018,HNcbsa
2Sa,23,13,2,שְׁלֹשָׁ֜ה,"K= she.lo.shim (שְׁלֹשִׁים) ""thirty"" (H7970=HNcfpa)",H7969,HNcbsa,H7970,HNcfpa
2Sa,23,18,8,הַ/שְּׁלֹשָׁ֔ה,"K= ha./she.lo.shi (הַ/שְּׁלֹשִׁי) ""the/ third"" (H9009/H7992=HTd/Aobsa)",H7969,HTd Ncbsa,H7992,HTd Aobsa
2Sa,23,20,6,חַ֛יִל,"K= chai (חַי) ""living"" (H2416A=HAabsa)",H2428G,HNcmsa,H2416A,HAabsa
2Sa,23,20,20,הָ/אֲרִ֛י,"K= ha./'a.ri.yah (הָ/אֲרִיַּה) ""the/ lion"" (H9009/H0738B=HTd/Ncbsa)",H0738A,HTd Ncmsa,H0738B,HTd Ncbsa
2Sa,23,21,6,אִ֣ישׁ,"K= 'a.Sher (אֲשֶׁר) ""who"" (H0834A=HTr)",H0376G,HNcmsc,H0834A,HTr
1Ki,1,47,12,אֱלֹהִ֜ים,"K= 'e.lo.hei./kha (אֱלֹהֶי/ךָ) ""God/ your"" (H0430G/H9021=HNcmpc/Sp2ms)",H0430G,HNcmpa,H0430G H9021,HNcmpc Sp2ms
1Ki,5,3(5,24,רַגְלָֽ/י\׃,"K= rag.lo/v (רַגְל/וֹ\׃) ""foot/ his"" (H7272/H9023\H9016=HNcbsc/Sp3ms)",H7272 H9020 H9016,HNcfdc Sp1bs,H7272 H9023 H9016,HNcbsc Sp3ms
1Ki,6,21,9,בְּ/רַתּוּק֤וֹת,"K= be./ra.ti.kot (בְּ/רַתִּיקוֹת) ""with/ chains of"" (H9003/H7572=HR/Ncfpc)",H9003 H7569,HR Ncfpc,H9003 H7572,HR Ncfpc
1Ki,7,23,15,וְ/קָו֙,"K= u./ke.veh (וּ/קְוֵה) ""and/ a measuring-line"" (H9002/H6961=HC/Ncbsa)",H6957B,Ncmsa,H6961,Ncbsa
1Ki,7,45,10,הָ/אֵ֔לֶּה,"K= ha./'o.hel (הָ/אֹהֶל) ""the/ tent"" (H9009/H0168G=HTd/Ncbsa)",H0428,HTd Tm,H0168G,HTd Ncbsa
